sl_no,hsc_p,hsc_s,degree_p,degree_t,etest_p,specialisation,mba_p,salary,gender_F,gender_M
175,50.83,Science,64.27,Sci&Tech,64.0,Mkt&Fin,66.23,500000.0,False,True
176,62.0,Science,65.0,Sci&Tech,87.5,Mkt&HR,60.69,,False,True
177,60.0,Commerce,56.0,Comm&Mgmt,55.0,Mkt&HR,57.9,220000.0,True,False
178,97.0,Commerce,79.0,Comm&Mgmt,89.0,Mkt&Fin,70.81,650000.0,True,False
179,56.0,Science,68.0,Sci&Tech,73.0,Mkt&HR,68.07,350000.0,False,True
180,64.0,Science,64.2,Sci&Tech,75.5,Mkt&HR,72.14,,True,False
181,71.5,Commerce,62.8,Comm&Mgmt,57.0,Mkt&Fin,56.6,265000.0,False,True
182,60.33,Science,64.21,Sci&Tech,63.0,Mkt&HR,60.02,,False,True
183,65.0,Arts,57.0,Others,75.0,Mkt&Fin,59.81,,False,True
184,77.0,Commerce,69.0,Comm&Mgmt,60.0,Mkt&HR,61.82,276000.0,False,True
185,62.83,Commerce,59.79,Comm&Mgmt,60.0,Mkt&HR,57.29,,True,False
186,72.0,Science,78.0,Others,82.0,Mkt&HR,71.43,252000.0,True,False
187,64.0,Commerce,61.0,Comm&Mgmt,55.0,Mkt&Fin,62.93,,True,False
188,65.5,Science,67.0,Sci&Tech,95.0,Mkt&Fin,64.86,280000.0,False,True
189,47.0,Commerce,54.38,Comm&Mgmt,57.0,Mkt&Fin,56.13,,False,True
190,77.6,Commerce,69.2,Comm&Mgmt,95.65,Mkt&Fin,66.94,,True,False
191,70.2,Commerce,61.0,Comm&Mgmt,50.0,Mkt&Fin,62.5,,True,False
192,61.0,Science,72.0,Comm&Mgmt,72.0,Mkt&Fin,61.01,264000.0,False,True
193,61.4,Commerce,64.8,Comm&Mgmt,93.4,Mkt&Fin,57.34,270000.0,False,True
194,63.0,Arts,56.0,Others,80.0,Mkt&HR,56.63,300000.0,True,False
195,55.0,Commerce,56.3,Comm&Mgmt,59.0,Mkt&Fin,64.74,,False,True
196,76.0,Commerce,72.0,Comm&Mgmt,84.0,Mkt&HR,58.95,275000.0,False,True
197,63.0,Science,77.5,Sci&Tech,78.0,Mkt&Fin,54.48,250000.0,False,True
198,53.0,Science,91.0,Sci&Tech,59.32,Mkt&HR,69.71,260000.0,True,False
199,70.0,Commerce,65.0,Others,88.0,Mkt&HR,71.96,,True,False
200,65.0,Commerce,57.0,Comm&Mgmt,73.0,Mkt&HR,55.8,265000.0,False,True
201,60.0,Commerce,65.0,Comm&Mgmt,87.55,Mkt&Fin,52.81,300000.0,False,True
202,63.0,Science,58.0,Comm&Mgmt,79.0,Mkt&HR,58.44,,False,True
203,63.0,Science,66.0,Sci&Tech,61.28,Mkt&HR,60.11,240000.0,False,True
204,61.33,Commerce,56.87,Comm&Mgmt,66.0,Mkt&HR,58.3,260000.0,False,True
205,73.0,Commerce,73.0,Comm&Mgmt,80.0,Mkt&Fin,67.69,210000.0,True,False
206,62.0,Commerce,65.0,Comm&Mgmt,62.0,Mkt&Fin,56.81,250000.0,False,True
207,42.0,Science,60.0,Comm&Mgmt,97.0,Mkt&Fin,53.39,,False,True
208,78.0,Commerce,61.0,Comm&Mgmt,88.56,Mkt&Fin,71.55,300000.0,False,True
209,60.0,Science,65.0,Comm&Mgmt,92.66,Mkt&HR,62.92,,True,False
210,72.0,Commerce,65.0,Comm&Mgmt,67.0,Mkt&Fin,56.49,216000.0,False,True
211,82.0,Commerce,77.6,Comm&Mgmt,91.0,Mkt&Fin,74.49,400000.0,False,True
212,60.0,Science,72.0,Sci&Tech,74.0,Mkt&Fin,53.62,275000.0,False,True
213,67.0,Commerce,73.0,Comm&Mgmt,59.0,Mkt&Fin,69.72,295000.0,False,True
214,66.0,Commerce,58.0,Comm&Mgmt,70.0,Mkt&HR,60.23,204000.0,True,False
215,58.0,Science,53.0,Comm&Mgmt,89.0,Mkt&HR,60.22,,False,True
